Entry example	Full entry name	Example tested	IsException	Usage Frequency	Note
A.C.	AssaultCube				http://dbpedia.org/resource/AssaultCube
A.C.	AC – The Danish Confederation of Professional Associations				http://dbpedia.org/resource/AC_%E2%80%93_The_Danish_Confederation_of_Professional_Associations
A.C.	Australia Council for the Arts				http://dbpedia.org/resource/Australia_Council_for_the_Arts
A.C.	Associated Content				http://dbpedia.org/resource/Associated_Content
A.C.	Acetyl				http://dbpedia.org/resource/Acetyl
A.C.	Assessment center				http://dbpedia.org/resource/Assessment_center
A.C.	Adult contemporary music				http://dbpedia.org/resource/Adult_contemporary_music
A.C.	Ace Combat				http://dbpedia.org/resource/Ace_Combat
A.C.	AC Comics				http://dbpedia.org/resource/AC_Comics
A.C.	Animal Crossing				http://dbpedia.org/resource/Animal_Crossing
A.C.	Armored Core				http://dbpedia.org/resource/Armored_Core
A.C.	AC Cars				http://dbpedia.org/resource/AC_Cars
A.C.	AC (complexity)				http://dbpedia.org/resource/AC_(complexity)
A.C.	Aachen (district)				http://dbpedia.org/resource/Aachen_(district)
A.C.	Artificial consciousness				http://dbpedia.org/resource/Artificial_consciousness
A.C.	Altocumulus cloud				http://dbpedia.org/resource/Altocumulus_cloud
A.C.	Anarcho-capitalism				http://dbpedia.org/resource/Anarcho-capitalism
A.C.	Axiom of choice				http://dbpedia.org/resource/Axiom_of_choice
A.C.	Aircraftman				http://dbpedia.org/resource/Aircraftman
A.C.	AC Transit				http://dbpedia.org/resource/AC_Transit
A.C.	Assassin's Creed				http://dbpedia.org/resource/Assassin's_Creed
